FILE OF DATA FOR PAR_LINE:
Number of Lines, Columns
4 3
DATA
76.067282 241.716359 417.386544 374.064644
130.526385 245.515831 408.521108 354.434037
588.996042 261.980211 307.201847 123.932718
292.637203 88.470976 633.323219 264.513193
