FILE OF DATA FOR PAR_LINE:
Number of Lines, Columns
4 3
DATA
80.500000 242.657895 420.650376 373.484962
133.733083 247.169173 410.725564 352.733083
307.868421 128.071429 591.176692 260.703008
295.236842 91.981203 638.093985 263.409774
